Symbol|Name|Date|mkt_val|rbics_econn|rbics_econ|rbics_sectn|rbics_sect|rbics_subsectn|rbics_subsect|rbics_indgrpn|rbics_indgrp|rbics_indn|rbics_ind|rbics_subindn|rbics_subind|msci_esg_env|msci_esg_gov|msci_esg_social|sales_total|sales_ps|sales_growth|MSCI ESG Ovr Score|MSCI ESG Ovr Score
MMM|3M Company|12/31/2007|59796.03653392|45|Non-Energy Materials|4520|Manufactured Products|452020|Other Materials|45202015|Diversified Materials|4520201510|Diversified Materials|452020151010|Diversified Materials|4.26000022888184|5.75|6.6100001335144|24462|33.4180327868852|6.71378091872791|7.15000009536743|AA
ABT|Abbott Laboratories|12/31/2007|87027.454361|35|Healthcare|3510|Biopharmaceuticals|351015|Other Biopharmaceuticals|35101540|Diversified Biopharmaceuticals|3510154010|Diversified Biopharmaceuticals|351015401010|Diversified Biopharmaceuticals|5.69000005722046|5.32999992370605|5.26000022888184|25258.961|16.6110840821842|15.4783625061536|4.57000017166138|BBB
ANF|Abercrombie & Fitch Co. Class A|12/31/2007|6881.25856|20|Consumer Cyclicals|2025|Consumer Retail|202510|Apparel and Accessories Retail|20251020|Apparel Retail|2025102010|Casual and Specialty Apparel Retail|202510201015|Teen/Young Adults Apparel and Accessories Retail|2.97000002861023|4.11999988555908|3.1800000667572|3659.621|36.0630148896859|16.5184934954615|1.42999994754791|B
CB|ACE Limited|12/31/2007|20369.14592518|30|Finance|3015|Insurance|301510|Insurance|30151020|Property and Casualty Insurance|3015102010|Commercial Insurance|301510201025|Diversified Commercial Insurance|4.98999977111816|5.36999988555908|6.13000011444092|14350|43.2473855675343|5.68566799234055|6.03000020980835|A
ADBE|Adobe Systems Incorporated|12/31/2007|24416.30657|55|Technology|5520|Software and Consulting|552015|Software|55201510|Design and Engineering Software|5520151025|Specialized Design and Engineering Software|552015102515|Multimedia Design and Engineering Software|5.5|6.40999984741211|7.96999979019165|3157.881|5.26470043004467|22.8620784238201|5.40000009536743|BBB
AMD|Advanced Micro Devices, Inc.|12/31/2007|4492.5|55|Technology|5510|Electronic Components and Manufacturing|551020|Semiconductor Manufacturing|55102030|Processor Semiconductors|5510203025|Microprocessor Semiconductors|551020302510|Microprocessor (MPU) Semiconductors|8.5|8.32999992370605|9.27999973297119|6013|10.7759856630824|6.4408485033227|10|AAA
AES|AES Corporation|12/31/2007|14338.56949845|65|Utilities|6510|Utilities|651010|Energy Utilities|65101025|Wholesale Power Generation and Marketing|6510102520|Other International Wholesale Power|651010252020|Multinational Wholesale Power|4.40999984741211|3.9300000667572|5.03999996185303|13601|20.0412979351032|13.6637138559251|3.64000010490417|BB
AET|Aetna Inc.|12/31/2007|28651.399|35|Healthcare|3515|Healthcare Services|351510|Healthcare Support Services|35151010|Health Plan Providers|3515101020|Other Managed Care|351510102010|Other Managed Care|4.51999998092651|9|6.8899998664856|27724.5|52.6083491461101|10.2554313461148|8.51000022888184|AA
ACS|Affiliated Computer Services Inc. Cl A|12/31/2007|4328.4274|10|Business Services|1010|Business Services|101015|Other Professional Services|10101515|Consulting/Business Process Outsourcing Services|1010151510|Business Process Outsourcing Services|101015151015|Diverse Business Process Outsourcing Services|3.03999996185303|2.51999998092651|5.86999988555908|5964.805|56.8314003859331|8.30614545346262|4.28000020980835|BB
AFL|Aflac Incorporated|12/31/2007|30471.3739|30|Finance|3015|Insurance|301510|Insurance|30151015|Life and Health Insurance|3015101515|Supplemental Health Insurance|301510151515|Other Supplemental Health Insurance|4.48999977111816|4.15000009536743|4.82999992370605|15393|15.6041548997816|5.32329798152583|4.48000001907349|BBB
