Symbol,Name,Date,mkt_val,rbics_econn,rbics_econ,rbics_sectn,rbics_sect,rbics_subsectn,rbics_subsect,rbics_indgrpn,rbics_indgrp,rbics_indn,rbics_ind,rbics_subindn,rbics_subind,msci_esg_env,msci_esg_gov,msci_esg_social
MMM,3M Company,12/31/2007,59796.03653,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,4.260000229,5.75,6.610000134
ABT,Abbott Laboratories,12/31/2007,87027.45436,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,5.690000057,5.329999924,5.260000229
ANF,Abercrombie & Fitch Co. Class A,12/31/2007,6881.25856,20,Consumer Cyclicals,2025,Consumer Retail,202510,Apparel and Accessories Retail,20251020,Apparel Retail,2025102010,Casual and Specialty Apparel Retail,2.0251E+11,Teen/Young Adults Apparel and Accessories Retail,2.970000029,4.119999886,3.180000067
CB,ACE Limited,12/31/2007,20369.14593,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Diversified Commercial Insurance,4.989999771,5.369999886,6.130000114
ADBE,Adobe Systems Incorporated,12/31/2007,24416.30657,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151025,Specialized Design and Engineering Software,5.52015E+11,Multimedia Design and Engineering Software,5.5,6.409999847,7.96999979
AMD,"Advanced Micro Devices, Inc.",12/31/2007,4492.5,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102030,Processor Semiconductors,5510203025,Microprocessor Semiconductors,5.5102E+11,Microprocessor (MPU) Semiconductors,8.5,8.329999924,9.279999733
AES,AES Corporation,12/31/2007,14338.5695,65,Utilities,6510,Utilities,651010,Energy Utilities,65101025,Wholesale Power Generation and Marketing,6510102520,Other International Wholesale Power,6.5101E+11,Multinational Wholesale Power,4.409999847,3.930000067,5.039999962
AET,Aetna Inc.,12/31/2007,28651.399,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,4.519999981,9,6.889999866
ACS,Affiliated Computer Services Inc. Cl A,12/31/2007,4328.4274,10,Business Services,1010,Business Services,101015,Other Professional Services,10101515,Consulting/Business Process Outsourcing Services,1010151510,Business Process Outsourcing Services,1.01015E+11,Diverse Business Process Outsourcing Services,3.039999962,2.519999981,5.869999886
AFL,Aflac Incorporated,12/31/2007,30471.3739,30,Finance,3015,Insurance,301510,Insurance,30151015,Life and Health Insurance,3015101515,Supplemental Health Insurance,3.0151E+11,Other Supplemental Health Insurance,4.489999771,4.150000095,4.829999924
A,"Agilent Technologies, Inc.",12/31/2007,13593.8,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,7.019999981,8.949999809,7.579999924
APD,"Air Products and Chemicals, Inc.",12/31/2007,21151.01561,45,Non-Energy Materials,4510,"Chemical, Plastic and Rubber Materials",451010,Commodity Chemicals,45101015,Other Commodity Chemical Manufacturing,4510101515,Industrial Gas Manufacturing,4.5101E+11,Industrial Gas Manufacturing,6.400000095,7,8.06000042
AKAM,"Akamai Technologies, Inc.",12/31/2007,5750.957275,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201020,Internet Hosting Services,5520102010,Colocation and Data Center Services,5.5201E+11,Colocation and Data Center Services,5.289999962,6.619999886,6.889999866
AA,Alcoa Corp.,12/31/2007,30241.53579,45,Non-Energy Materials,4515,Mining and Mineral Products,451510,Metal Products,45151020,Primary Metals Products,4515102010,Alumina and Aluminum Products Manufacturing,4.5151E+11,Multi-Type Alumina and Aluminum Product Makers,-,-,-
AYE,Allegheny Energy,12/31/2007,10640.23992,65,Utilities,6510,Utilities,651010,Energy Utilities,65101020,Other Electric and Natural Gas Utilities,6510102020,Other United States Energy Utilities,6.5101E+11,Other United States Energy Utilities,2.5,3.799999952,3.569999933
ATI,Allegheny Technologies Incorporated,12/31/2007,8777.059258,-,-,-,-,-,-,-,-,-,-,-,-,3.109999895,3.200000048,3.430000067
AGN.2,"Allergan, Inc.",12/31/2007,19651.46568,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,6.670000076,4.900000095,5.050000191
AW,Allied Waste Industries Inc.,12/31/2007,4081.808,10,Business Services,1010,Business Services,101025,Waste Management Services,10102510,General Waste Collection,1010251010,General Waste Collection,1.01025E+11,General Waste Collection,3.880000114,5,4.039999962
ALL,Allstate Corporation,12/31/2007,29405.49,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102015,Personal Insurance,3.0151E+11,Other Personal Insurance,3.289999962,4.420000076,4.630000114
ALTR.1,Altera Corporation,12/31/2007,6066.84708,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102035,Programmable Logic and ASIC Semiconductors,5510203515,Programmable Logic Device Semiconductors,5.5102E+11,Programmable Logic Device Semiconductors,5.949999809,4.5,5.440000057
MO,Altria Group Inc,12/31/2007,159298.2097,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501520,Tobacco Production,50152010,Cigarette Manufacturing,5015201010,Cigarette Manufacturing,5.0152E+11,Cigarette Manufacturing,4.079999924,3,4.139999866
AMZN,"Amazon.com, Inc.",12/31/2007,38538.24,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251520,Mixed Electronics and Entertainment Retail,2025152010,Mixed Electronics and Entertainment Retail,2.02515E+11,Mixed Electronics and Entertainment Retail,4.949999809,4.590000153,5.059999943
ABKFQ,Ambac Financial Group Inc.,12/31/2007,2616.944093,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AEE,Ameren Corporation,12/31/2007,11291.943,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Midwest Electric Utilities,3.99000001,3.519999981,5.389999866
ACAS,American Capital Strategies Ltd.,12/31/2007,6456.864,30,Finance,3020,Investment Services,302010,Investment Services,30201020,Investment Holding Companies,3020102015,Business Development Companies,3.0201E+11,Business Development Companies,-,-,-
AEP,"American Electric Power Company, Inc.",12/31/2007,18643.86734,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101015,Other United States Electric Utilities,6.5101E+11,Other United States Electric Utilities,4.03000021,3.160000086,3.789999962
AXP,American Express Company,12/31/2007,60239.16,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101535,General Consumer Finance Services,3.0301E+11,General Consumer Finance Services,2.950000048,6.940000057,6.190000057
AIG,"American International Group, Inc.",12/31/2007,147474.7504,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,9.529999733,7.739999771,6.070000172
AMT,American Tower Corporation,12/31/2007,17019.48989,60,Telecommunications,6010,Telecommunications,601010,Other Telecommunications Services,60101040,Telecommunications Industry Software and Services,6010104015,Wireless Infrastructure Services,6.0101E+11,Wireless Infrastructure Services,4.579999924,5.570000172,5.269999981
AMP,"Ameriprise Financial, Inc.",12/31/2007,12551.18363,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,3.789999962,4.829999924,4.670000076
ABC,AmerisourceBergen Corporation,12/31/2007,7292.852614,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,5.659999847,6.599999905,5.309999943
AMGN,Amgen Inc.,12/31/2007,50480.28,35,Healthcare,3510,Biopharmaceuticals,351020,System-Specific Biopharmaceuticals,35102030,Hematology Biopharmaceuticals,3510203010,Hematology Biopharmaceuticals,3.5102E+11,Hematology Biopharmaceuticals,7.230000019,5.559999943,5.860000134
APC,Anadarko Petroleum Corporation,12/31/2007,30742.92,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151015,Pan-US Fossil Fuel Exploration/Production,2.51015E+11,Pan-US Fossil Fuel Exploration/Production,3.609999895,2.109999895,3.299999952
ADI,"Analog Devices, Inc.",12/31/2007,9616.327506,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102010,Analog and Mixed Signal Semiconductors,5510201010,General Analog and Mixed Signal Semiconductors,5.5102E+11,General Analog and Mixed Signal Semiconductors,4.619999886,4.829999924,5.21999979
BUD.2,Anheuser-Busch Companies Inc.,12/31/2007,37752.842,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151010,Alcoholic Beverage Production,5.01515E+11,Breweries,-,-,-
AON,Aon plc,12/31/2007,14512.067,30,Finance,3015,Insurance,301510,Insurance,30151010,Insurance Brokerage,3015101010,Insurance Brokerage,3.0151E+11,Insurance Brokerage,-,-,-
APA,Apache Corporation,12/31/2007,35802.98496,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151010,Other Americas Fossil Fuel Exploration/Production,2.51015E+11,Pan-Americas Fossil Fuel Exploration/Production,4.340000153,4.670000076,4.869999886
AIV,Apartment Investment and Management Company Class A,12/31/2007,3338.615252,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,3.329999924,5.340000153,4.739999771
APOL,"Apollo Education Group, Inc. Class A",12/31/2007,11766.04905,50,Consumer Non-Cyclicals,5025,Household Services,502510,Personal Professional Services,50251010,Educational Services,5025101015,Post-Secondary Educational Services,5.0251E+11,Colleges,1,2.599999905,5.599999905
AAPL,Apple Inc.,12/31/2007,174038.806,55,Technology,5515,Hardware,551520,Computer Hardware and Storage,55152015,Computer Systems,5515201515,Multi-Type Business and Personal Systems,5.5152E+11,Multi-Type Business and Personal Systems,6.619999886,5,5.650000095
ABI,Applera Corp-Applied Biosystems,12/31/2007,5677.428688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AMAT,"Applied Materials, Inc.",12/31/2007,24610.22736,55,Technology,5510,Electronic Components and Manufacturing,551030,Semiconductor Equipment and Services,55103010,Semiconductor Manufacturing Capital Equipment,5510301015,Semiconductor Front End Processing Equipment,5.5103E+11,Other Front End Processing Equipment Makers,5.989999771,7.170000076,7.71999979
ADM,Archer-Daniels-Midland Company,12/31/2007,29849.42913,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501510,Agriculture,50151015,Crop Production,5015101525,Diversified Crop Production,5.0151E+11,Diversified Crop Production,3.720000029,5.5,4.900000095
ASH,Ashland Inc.,12/31/2007,2983.473496,40,Industrials,4015,Industrial Services,401520,Diversified Industrials Distribution,40152015,Materials Distributors,4015201510,Chemical and Allied Products Distributors,4.0152E+11,Other Chemical and Allied Product Distributors,-,-,-
AIZ,"Assurant, Inc.",12/31/2007,7881.355668,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,4.070000172,4.53000021,5.429999828
T,AT&T Inc.,12/31/2007,251169.7405,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Multi-Type United States Wireline Services,4.130000114,4.579999924,4.78000021
ADSK,"Autodesk, Inc.",12/31/2007,11489.584,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151010,Computer Aided Design Software,5.52015E+11,Computer Aided Design (CAD) Software,7.860000134,6.570000172,7.570000172
ADP,"Automatic Data Processing, Inc.",12/31/2007,23217.942,10,Business Services,1010,Business Services,101015,Other Professional Services,10101510,Administrative Services,1010151010,Administrative Employment Services,1.01015E+11,Other Human Resources Consulting and PEO Services,2.609999895,2.75999999,4.050000191
AN,"AutoNation, Inc.",12/31/2007,2824.383824,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151015,Motor Vehicle Sales,2015101510,Automobile Dealers,2.0151E+11,New Car Dealers,3.180000067,5.590000153,5.03000021
AZO,"AutoZone, Inc.",12/31/2007,7575.751922,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151020,Motor Vehicles and Parts Sales and Rental,2015102015,"Automotive Parts, Accessories and Tires Sales",2.0151E+11,Automotive Parts and Accessories Stores,2.630000114,4.400000095,5.019999981
AVB,"AvalonBay Communities, Inc.",12/31/2007,7278.77404,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,4.179999828,5.96999979,3.75999999
AVY,Avery Dennison Corporation,12/31/2007,5228.279707,45,Non-Energy Materials,4520,Manufactured Products,452010,Forestry and Paper Products,45201020,Paper and Paper Products,4520102015,Printing and Stationary Paper Products,4.5201E+11,Printing and Stationary Paper Products,4.199999809,3.640000105,4.130000114
