Symbol,Name,Date,mkt_val,rbics_econn,rbics_econ,rbics_sectn,rbics_sect,rbics_subsectn,rbics_subsect,rbics_indgrpn,rbics_indgrp,rbics_indn,rbics_ind,rbics_subindn,rbics_subind,msci_esg_env,msci_esg_gov,msci_esg_social,sales_total,sales_ps,sales_growth
MMM,3M Company,12/31/2007,59796.03653,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,4.260000229,5.75,6.610000134,24462,33.41803279,6.713780919
ABT,Abbott Laboratories,12/31/2007,87027.45436,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,5.690000057,5.329999924,5.260000229,25258.961,16.61108408,15.47836251
ANF,Abercrombie & Fitch Co. Class A,12/31/2007,6881.25856,20,Consumer Cyclicals,2025,Consumer Retail,202510,Apparel and Accessories Retail,20251020,Apparel Retail,2025102010,Casual and Specialty Apparel Retail,2.0251E+11,Teen/Young Adults Apparel and Accessories Retail,2.970000029,4.119999886,3.180000067,3659.621,36.06301489,16.5184935
CB,ACE Limited,12/31/2007,20369.14593,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Diversified Commercial Insurance,4.989999771,5.369999886,6.130000114,14350,43.24738557,5.685667992
ADBE,Adobe Systems Incorporated,12/31/2007,24416.30657,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151025,Specialized Design and Engineering Software,5.52015E+11,Multimedia Design and Engineering Software,5.5,6.409999847,7.96999979,3157.881,5.26470043,22.86207842
AMD,"Advanced Micro Devices, Inc.",12/31/2007,4492.5,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102030,Processor Semiconductors,5510203025,Microprocessor Semiconductors,5.5102E+11,Microprocessor (MPU) Semiconductors,8.5,8.329999924,9.279999733,6013,10.77598566,6.440848503
AES,AES Corporation,12/31/2007,14338.5695,65,Utilities,6510,Utilities,651010,Energy Utilities,65101025,Wholesale Power Generation and Marketing,6510102520,Other International Wholesale Power,6.5101E+11,Multinational Wholesale Power,4.409999847,3.930000067,5.039999962,13601,20.04129794,13.66371386
AET,Aetna Inc.,12/31/2007,28651.399,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101020,Other Managed Care,3.5151E+11,Other Managed Care,4.519999981,9,6.889999866,27724.5,52.60834915,10.25543135
ACS,Affiliated Computer Services Inc. Cl A,12/31/2007,4328.4274,10,Business Services,1010,Business Services,101015,Other Professional Services,10101515,Consulting/Business Process Outsourcing Services,1010151510,Business Process Outsourcing Services,1.01015E+11,Diverse Business Process Outsourcing Services,3.039999962,2.519999981,5.869999886,5964.805,56.83140039,8.306145453
AFL,Aflac Incorporated,12/31/2007,30471.3739,30,Finance,3015,Insurance,301510,Insurance,30151015,Life and Health Insurance,3015101515,Supplemental Health Insurance,3.0151E+11,Other Supplemental Health Insurance,4.489999771,4.150000095,4.829999924,15393,15.6041549,5.323297982
